ID,Specialty,Subcategory,Topic,Subtopic,Search_Term_1,Search_Term_2,Search_Term_3,Search_Term_4,Image_Types,AMC_Relevance,Priority,Folder_Path
197,Dermatology,Infections,Viral Infections,Molluscum Contagiosum,molluscum contagiosum,molluscum umbilicated,viral molluscum children,molluscum contagiosum clinical photo,clinical_photo,4,HIGH,dermatology/infections/viral_infections/molluscum_contagiosum
198,Dermatology,Infections,Viral Infections,Viral Warts,viral wart,verruca vulgaris,plantar wart,common wart clinical photo,clinical_photo,4,HIGH,dermatology/infections/viral_infections/viral_warts
199,Dermatology,Infections,Fungal Infections,Tinea Corporis,tinea corporis,ringworm body,dermatophyte infection,tinea corporis clinical photo,clinical_photo,5,HIGH,dermatology/infections/fungal_infections/tinea_corporis
200,Dermatology,Infections,Fungal Infections,Tinea Pedis,tinea pedis,athlete's foot,interdigital tinea pedis,fungal foot infection,clinical_photo,5,HIGH,dermatology/infections/fungal_infections/tinea_pedis
201,Dermatology,Infections,Fungal Infections,Tinea Cruris,tinea cruris,jock itch,groin fungal infection,tinea cruris clinical photo,clinical_photo,4,HIGH,dermatology/infections/fungal_infections/tinea_cruris
202,Dermatology,Infections,Fungal Infections,Tinea Capitis,tinea capitis,scalp ringworm,fungal scalp infection,kerion tinea capitis,clinical_photo,4,HIGH,dermatology/infections/fungal_infections/tinea_capitis
203,Dermatology,Infections,Fungal Infections,Tinea Unguium,tinea unguium,onychomycosis,fungal nail infection,tinea unguium clinical photo,clinical_photo,5,HIGH,dermatology/infections/fungal_infections/tinea_unguium
204,Dermatology,Infections,Fungal Infections,Candidiasis,cutaneous candidiasis,candida intertrigo,candida skin infection,oral candidiasis thrush,clinical_photo,5,HIGH,dermatology/infections/fungal_infections/candidiasis
205,Dermatology,Infections,Parasitic Infections,Scabies,scabies,scabies burrow,sarcoptes scabiei,crusted scabies clinical photo,"clinical_photo, microscopy",5,HIGH,dermatology/infections/parasitic_infections/scabies
206,Dermatology,Infections,Parasitic Infections,Head Lice,head lice,pediculosis capitis,lice nits,head louse clinical photo,"clinical_photo, microscopy",4,HIGH,dermatology/infections/parasitic_infections/head_lice
207,Dermatology,Autoimmune Conditions,Bullous Disorders,Pemphigus Vulgaris,pemphigus vulgaris,pemphigus oral mucosa,acantholytic blistering,pemphigus vulgaris clinical photo,"clinical_photo, microscopy",3,HIGH,dermatology/autoimmune_conditions/bullous_disorders/pemphigus_vulgaris
208,Dermatology,Autoimmune Conditions,Bullous Disorders,Bullous Pemphigoid,bullous pemphigoid,pemphigoid elderly,tense bullae pemphigoid,bullous pemphigoid clinical photo,"clinical_photo, microscopy",3,HIGH,dermatology/autoimmune_conditions/bullous_disorders/bullous_pemphigoid
209,Dermatology,Autoimmune Conditions,Bullous Disorders,Dermatitis Herpetiformis,dermatitis herpetiformis,DH celiac disease,dermatitis herpetiformis elbows,gluten sensitive dermatosis,"clinical_photo, microscopy",3,HIGH,dermatology/autoimmune_conditions/bullous_disorders/dermatitis_herpetiformis
210,Dermatology,Autoimmune Conditions,Connective Tissue Disease,Lupus Erythematosus,lupus erythematosus,malar rash lupus,butterfly rash SLE,discoid lupus clinical photo,clinical_photo,4,HIGH,dermatology/autoimmune_conditions/connective_tissue_disease/lupus_erythematosus
211,Dermatology,Autoimmune Conditions,Connective Tissue Disease,Dermatomyositis,dermatomyositis,heliotrope rash,Gottron papules,dermatomyositis hands clinical photo,clinical_photo,3,HIGH,dermatology/autoimmune_conditions/connective_tissue_disease/dermatomyositis
212,Dermatology,Autoimmune Conditions,Connective Tissue Disease,Scleroderma,scleroderma,systemic sclerosis skin,morphea,scleroderma hands clinical photo,clinical_photo,3,HIGH,dermatology/autoimmune_conditions/connective_tissue_disease/scleroderma
213,Dermatology,Autoimmune Conditions,Vasculitis,Henoch Schonlein Purpura,Henoch-Schonlein purpura,IgA vasculitis,HSP purpura legs,palpable purpura child,clinical_photo,4,HIGH,dermatology/autoimmune_conditions/vasculitis/henoch_schonlein_purpura
214,Dermatology,Autoimmune Conditions,Vasculitis,Leukocytoclastic Vasculitis,leukocytoclastic vasculitis,cutaneous vasculitis,palpable purpura,small vessel vasculitis skin,"clinical_photo, microscopy",3,HIGH,dermatology/autoimmune_conditions/vasculitis/leukocytoclastic_vasculitis
215,Dermatology,Drug Reactions,Adverse Reactions,Morbilliform Drug Eruption,morbilliform drug eruption,drug rash exanthem,antibiotic drug rash,maculopapular drug eruption,clinical_photo,5,HIGH,dermatology/drug_reactions/adverse_reactions/morbilliform_drug_eruption
216,Dermatology,Drug Reactions,Adverse Reactions,Stevens Johnson Syndrome,Stevens-Johnson syndrome,SJS drug reaction,toxic epidermal necrolysis,TEN clinical photo,clinical_photo,5,HIGH,dermatology/drug_reactions/adverse_reactions/stevens_johnson_syndrome
217,Dermatology,Drug Reactions,Adverse Reactions,Fixed Drug Eruption,fixed drug eruption,FDE drug reaction,localized drug rash,pigmented fixed drug eruption,clinical_photo,4,HIGH,dermatology/drug_reactions/adverse_reactions/fixed_drug_eruption
218,Dermatology,Drug Reactions,Adverse Reactions,Drug Induced Photosensitivity,drug induced photosensitivity,phototoxic drug reaction,photoallergic dermatitis,sun exposed drug rash,clinical_photo,4,HIGH,dermatology/drug_reactions/adverse_reactions/drug_induced_photosensitivity
219,Dermatology,Hair And Nail Disorders,Alopecia,Alopecia Areata,alopecia areata,patchy hair loss,exclamation mark hairs,alopecia areata clinical photo,clinical_photo,4,HIGH,dermatology/hair_and_nail_disorders/alopecia/alopecia_areata
220,Dermatology,Hair And Nail Disorders,Alopecia,Androgenetic Alopecia,androgenetic alopecia,male pattern baldness,female pattern hair loss,Ludwig pattern alopecia,clinical_photo,4,HIGH,dermatology/hair_and_nail_disorders/alopecia/androgenetic_alopecia
221,Dermatology,Hair And Nail Disorders,Alopecia,Telogen Effluvium,telogen effluvium,diffuse hair shedding,acute hair loss,telogen effluvium clinical photo,clinical_photo,4,HIGH,dermatology/hair_and_nail_disorders/alopecia/telogen_effluvium
222,Dermatology,Hair And Nail Disorders,Nail Disorders,Psoriatic Nails,psoriatic nails,nail pitting psoriasis,onycholysis psoriasis,oil drop sign nail,clinical_photo,4,HIGH,dermatology/hair_and_nail_disorders/nail_disorders/psoriatic_nails
223,Dermatology,Hair And Nail Disorders,Nail Disorders,Paronychia,paronychia,acute paronychia,chronic paronychia,nail fold infection,clinical_photo,4,HIGH,dermatology/hair_and_nail_disorders/nail_disorders/paronychia
224,Dermatology,Acne And Rosacea,Acne,Acne Vulgaris,acne vulgaris,teenage acne,comedonal acne,inflammatory acne clinical photo,clinical_photo,5,HIGH,dermatology/acne_and_rosacea/acne/acne_vulgaris
225,Dermatology,Acne And Rosacea,Acne,Acne Conglobata,acne conglobata,severe nodular acne,cystic acne,scarring acne clinical photo,clinical_photo,3,HIGH,dermatology/acne_and_rosacea/acne/acne_conglobata
226,Dermatology,Acne And Rosacea,Rosacea,Erythematotelangiectatic Rosacea,erythematotelangiectatic rosacea,rosacea facial flushing,telangiectasia rosacea,ETR clinical photo,clinical_photo,4,HIGH,dermatology/acne_and_rosacea/rosacea/erythematotelangiectatic_rosacea
227,Dermatology,Acne And Rosacea,Rosacea,Papulopustular Rosacea,papulopustular rosacea,inflammatory rosacea,rosacea papules pustules,acne rosacea clinical photo,clinical_photo,4,HIGH,dermatology/acne_and_rosacea/rosacea/papulopustular_rosacea
228,Dermatology,Acne And Rosacea,Rosacea,Rhinophyma,rhinophyma,rosacea nose,phymatous rosacea,bulbous nose rosacea,clinical_photo,3,HIGH,dermatology/acne_and_rosacea/rosacea/rhinophyma
229,Haematology,Anaemias,Microcytic Anaemia,Iron Deficiency Anaemia,iron deficiency anaemia blood smear,microcytic hypochromic anaemia,iron deficiency blood film,pencil cells iron deficiency,"microscopy, blood_smear",5,HIGH,haematology/anaemias/microcytic_anaemia/iron_deficiency_anaemia
230,Haematology,Anaemias,Microcytic Anaemia,Thalassaemia Trait,thalassaemia trait blood smear,beta thalassaemia minor,alpha thalassaemia trait blood film,target cells thalassaemia,"microscopy, blood_smear",5,HIGH,haematology/anaemias/microcytic_anaemia/thalassaemia_trait
231,Haematology,Anaemias,Microcytic Anaemia,Thalassaemia Major,beta thalassaemia major blood smear,thalassaemia major blood film,Cooley anaemia microscopy,severe thalassaemia blood smear,"microscopy, blood_smear, xray",4,HIGH,haematology/anaemias/microcytic_anaemia/thalassaemia_major
232,Haematology,Anaemias,Microcytic Anaemia,Anaemia Chronic Disease,anaemia of chronic disease blood smear,ACD blood film,inflammatory anaemia microscopy,normocytic anaemia chronic disease,"microscopy, blood_smear",4,HIGH,haematology/anaemias/microcytic_anaemia/anaemia_chronic_disease
233,Haematology,Anaemias,Microcytic Anaemia,Sideroblastic Anaemia,sideroblastic anaemia blood smear,ring sideroblasts bone marrow,sideroblastic anaemia microscopy,Prussian blue stain sideroblasts,"microscopy, bone_marrow",3,HIGH,haematology/anaemias/microcytic_anaemia/sideroblastic_anaemia
234,Haematology,Anaemias,Macrocytic Anaemia,Vitamin B12 Deficiency,vitamin B12 deficiency blood smear,megaloblastic anaemia blood film,hypersegmented neutrophils B12,macrocytic anaemia B12 deficiency,"microscopy, blood_smear",5,HIGH,haematology/anaemias/macrocytic_anaemia/vitamin_b12_deficiency
235,Haematology,Anaemias,Macrocytic Anaemia,Folate Deficiency,folate deficiency blood smear,folic acid deficiency blood film,megaloblastic anaemia folate,macrocytic anaemia folate deficiency,"microscopy, blood_smear",5,HIGH,haematology/anaemias/macrocytic_anaemia/folate_deficiency
236,Haematology,Anaemias,Macrocytic Anaemia,Pernicious Anaemia,pernicious anaemia blood smear,autoimmune B12 deficiency,pernicious anaemia blood film,intrinsic factor deficiency blood smear,"microscopy, blood_smear",4,HIGH,haematology/anaemias/macrocytic_anaemia/pernicious_anaemia
237,Haematology,Anaemias,Macrocytic Anaemia,Alcohol Related Macrocytosis,alcohol related macrocytosis blood smear,alcoholic macrocytosis blood film,non-megaloblastic macrocytosis alcohol,round macrocytes alcohol,"microscopy, blood_smear",4,HIGH,haematology/anaemias/macrocytic_anaemia/alcohol_related_macrocytosis
238,Haematology,Anaemias,Haemolytic Anaemia,Hereditary Spherocytosis,hereditary spherocytosis blood smear,spherocytes blood film,hereditary spherocytosis microscopy,osmotic fragility spherocytosis,"microscopy, blood_smear",4,HIGH,haematology/anaemias/haemolytic_anaemia/hereditary_spherocytosis
239,Haematology,Anaemias,Haemolytic Anaemia,G6Pd Deficiency,G6PD deficiency blood smear,glucose-6-phosphate dehydrogenase deficiency,bite cells G6PD,Heinz bodies G6PD deficiency,"microscopy, blood_smear",5,HIGH,haematology/anaemias/haemolytic_anaemia/g6pd_deficiency
240,Haematology,Anaemias,Haemolytic Anaemia,Sickle Cell Disease,sickle cell disease blood smear,sickle cells blood film,HbSS blood smear microscopy,sickle cell anaemia blood film,"microscopy, blood_smear",5,HIGH,haematology/anaemias/haemolytic_anaemia/sickle_cell_disease
241,Haematology,Anaemias,Haemolytic Anaemia,Autoimmune Haemolytic Anaemia,autoimmune haemolytic anaemia blood smear,AIHA blood film,spherocytes AIHA,warm AIHA blood smear,"microscopy, blood_smear",4,HIGH,haematology/anaemias/haemolytic_anaemia/autoimmune_haemolytic_anaemia
242,Haematology,Anaemias,Haemolytic Anaemia,Microangiopathic Haemolytic Anaemia,microangiopathic haemolytic anaemia blood smear,MAHA blood film,schistocytes blood smear,fragmented red cells MAHA,"microscopy, blood_smear",4,HIGH,haematology/anaemias/haemolytic_anaemia/microangiopathic_haemolytic_anaemia
243,Haematology,Anaemias,Aplastic Anaemia,Aplastic Anaemia Bone Marrow,aplastic anaemia bone marrow,hypocellular bone marrow aplastic,bone marrow failure aplastic anaemia,pancytopenia aplastic anaemia,"microscopy, bone_marrow",4,HIGH,haematology/anaemias/aplastic_anaemia/aplastic_anaemia_bone_marrow
244,Haematology,White Cell Disorders,Acute Leukaemia,Acute Myeloid Leukaemia,acute myeloid leukaemia blood smear,AML blast cells,myeloblasts blood film,Auer rods AML microscopy,"microscopy, blood_smear, bone_marrow",5,HIGH,haematology/white_cell_disorders/acute_leukaemia/acute_myeloid_leukaemia
245,Haematology,White Cell Disorders,Acute Leukaemia,Acute Promyelocytic Leukaemia,acute promyelocytic leukaemia blood smear,APL Auer rods,APML microscopy,promyelocytes APL blood film,"microscopy, blood_smear, bone_marrow",4,HIGH,haematology/white_cell_disorders/acute_leukaemia/acute_promyelocytic_leukaemia
246,Haematology,White Cell Disorders,Acute Leukaemia,Acute Lymphoblastic Leukaemia,acute lymphoblastic leukaemia blood smear,ALL blast cells,lymphoblasts blood film,paediatric ALL microscopy,"microscopy, blood_smear, bone_marrow",5,HIGH,haematology/white_cell_disorders/acute_leukaemia/acute_lymphoblastic_leukaemia
247,Haematology,White Cell Disorders,Chronic Leukaemia,Chronic Myeloid Leukaemia,chronic myeloid leukaemia blood smear,CML blood film,Philadelphia chromosome CML,myeloid left shift blood smear,"microscopy, blood_smear, bone_marrow",5,HIGH,haematology/white_cell_disorders/chronic_leukaemia/chronic_myeloid_leukaemia
248,Haematology,White Cell Disorders,Chronic Leukaemia,Chronic Lymphocytic Leukaemia,chronic lymphocytic leukaemia blood smear,CLL small lymphocytes,smudge cells CLL,mature lymphocytes CLL blood film,"microscopy, blood_smear, bone_marrow",5,HIGH,haematology/white_cell_disorders/chronic_leukaemia/chronic_lymphocytic_leukaemia
249,Haematology,White Cell Disorders,Chronic Leukaemia,Hairy Cell Leukaemia,hairy cell leukaemia blood smear,HCL microscopy,hairy lymphocytes blood film,hairy cell leukaemia bone marrow,"microscopy, blood_smear, bone_marrow",3,HIGH,haematology/white_cell_disorders/chronic_leukaemia/hairy_cell_leukaemia
250,Haematology,White Cell Disorders,Lymphoma,Hodgkin Lymphoma,Hodgkin lymphoma Reed-Sternberg cells,Hodgkin's lymphoma histology,Reed-Sternberg cells microscopy,Hodgkin lymphoma lymph node biopsy,"microscopy, histology",5,HIGH,haematology/white_cell_disorders/lymphoma/hodgkin_lymphoma
251,Haematology,White Cell Disorders,Lymphoma,Non Hodgkin Lymphoma,non-Hodgkin lymphoma histology,NHL microscopy,follicular lymphoma,diffuse large B-cell lymphoma,"microscopy, histology, CT",5,HIGH,haematology/white_cell_disorders/lymphoma/non_hodgkin_lymphoma
252,Haematology,White Cell Disorders,Lymphoma,Burkitt Lymphoma,Burkitt lymphoma microscopy,starry sky appearance Burkitt,Burkitt lymphoma histology,high grade B-cell lymphoma,"microscopy, histology",4,HIGH,haematology/white_cell_disorders/lymphoma/burkitt_lymphoma
253,Haematology,White Cell Disorders,Myeloma,Multiple Myeloma,multiple myeloma plasma cells,myeloma bone marrow,plasma cell myeloma microscopy,myeloma skull xray lytic lesions,"microscopy, bone_marrow, xray",5,HIGH,haematology/white_cell_disorders/myeloma/multiple_myeloma
254,Haematology,White Cell Disorders,Myeloma,Waldenstrom Macroglobulinaemia,Waldenstrom macroglobulinaemia bone marrow,lymphoplasmacytic lymphoma,Waldenstrom's microscopy,IgM paraprotein bone marrow,"microscopy, bone_marrow",3,HIGH,haematology/white_cell_disorders/myeloma/waldenstrom_macroglobulinaemia
255,Haematology,White Cell Disorders,Myeloproliferative Disorders,Polycythaemia Vera,polycythaemia vera blood smear,PV blood film,polycythaemia rubra vera,increased haematocrit blood film,"microscopy, blood_smear",4,HIGH,haematology/white_cell_disorders/myeloproliferative_disorders/polycythaemia_vera
256,Haematology,White Cell Disorders,Myeloproliferative Disorders,Essential Thrombocythaemia,essential thrombocythaemia blood smear,ET platelet clumping,thrombocytosis blood film,essential thrombocytosis microscopy,"microscopy, blood_smear",4,HIGH,haematology/white_cell_disorders/myeloproliferative_disorders/essential_thrombocythaemia
257,Haematology,White Cell Disorders,Myeloproliferative Disorders,Myelofibrosis,myelofibrosis bone marrow,primary myelofibrosis,leukoerythroblastic blood film,teardrop cells myelofibrosis,"microscopy, blood_smear, bone_marrow",3,HIGH,haematology/white_cell_disorders/myeloproliferative_disorders/myelofibrosis
258,Haematology,White Cell Disorders,Reactive Conditions,Infectious Mononucleosis,infectious mononucleosis blood smear,atypical lymphocytes EBV,glandular fever blood film,reactive lymphocytes mononucleosis,"microscopy, blood_smear",5,HIGH,haematology/white_cell_disorders/reactive_conditions/infectious_mononucleosis
259,Haematology,White Cell Disorders,Reactive Conditions,Neutrophilia Infection,neutrophilia bacterial infection blood smear,left shift neutrophils,toxic granulation neutrophils,reactive neutrophilia blood film,"microscopy, blood_smear",4,HIGH,haematology/white_cell_disorders/reactive_conditions/neutrophilia_infection
260,Haematology,White Cell Disorders,Reactive Conditions,Eosinophilia,eosinophilia blood smear,increased eosinophils blood film,parasitic eosinophilia,allergic eosinophilia microscopy,"microscopy, blood_smear",4,HIGH,haematology/white_cell_disorders/reactive_conditions/eosinophilia
261,Haematology,Platelet Disorders,Thrombocytopenia,Immune Thrombocytopenia,immune thrombocytopenia blood smear,ITP blood film,idiopathic thrombocytopenic purpura,low platelets ITP microscopy,"microscopy, blood_smear",5,HIGH,haematology/platelet_disorders/thrombocytopenia/immune_thrombocytopenia
262,Haematology,Platelet Disorders,Thrombocytopenia,Thrombotic Thrombocytopenic Purpura,thrombotic thrombocytopenic purpura blood smear,TTP schistocytes,TTP blood film microscopy,microangiopathic TTP,"microscopy, blood_smear",4,HIGH,haematology/platelet_disorders/thrombocytopenia/thrombotic_thrombocytopenic_purpura
263,Haematology,Platelet Disorders,Thrombocytopenia,Heparin Induced Thrombocytopenia,heparin induced thrombocytopenia blood smear,HIT blood film,thrombocytopenia heparin,platelet clumping HIT,"microscopy, blood_smear",4,HIGH,haematology/platelet_disorders/thrombocytopenia/heparin_induced_thrombocytopenia
264,Haematology,Platelet Disorders,Platelet Function Disorders,Von Willebrand Disease,von Willebrand disease blood smear,VWD platelet function,von Willebrand factor deficiency,bleeding disorder VWD,"microscopy, blood_smear",5,HIGH,haematology/platelet_disorders/platelet_function_disorders/von_willebrand_disease
265,Haematology,Platelet Disorders,Platelet Function Disorders,Bernard Soulier Syndrome,Bernard-Soulier syndrome blood smear,giant platelets Bernard-Soulier,BSS microscopy,thrombocytopenia giant platelets,"microscopy, blood_smear",3,HIGH,haematology/platelet_disorders/platelet_function_disorders/bernard_soulier_syndrome
266,Haematology,Coagulation Disorders,Inherited Bleeding Disorders,Haemophilia A,haemophilia A factor VIII deficiency,haemophilia joint bleeding,factor 8 deficiency,X-linked haemophilia,"clinical_photo, xray",5,HIGH,haematology/coagulation_disorders/inherited_bleeding_disorders/haemophilia_a
267,Haematology,Coagulation Disorders,Inherited Bleeding Disorders,Haemophilia B,haemophilia B factor IX deficiency,Christmas disease,factor 9 deficiency,haemophilia B clinical,"clinical_photo, xray",4,HIGH,haematology/coagulation_disorders/inherited_bleeding_disorders/haemophilia_b
268,Haematology,Coagulation Disorders,Acquired Bleeding Disorders,Vitamin K Deficiency,vitamin K deficiency coagulopathy,warfarin coagulopathy,vitamin K deficiency bleeding,prolonged PT vitamin K,clinical_photo,5,HIGH,haematology/coagulation_disorders/acquired_bleeding_disorders/vitamin_k_deficiency
269,Haematology,Coagulation Disorders,Acquired Bleeding Disorders,Disseminated Intravascular Coagulation,disseminated intravascular coagulation blood smear,DIC schistocytes,DIC blood film,consumptive coagulopathy DIC,"microscopy, blood_smear, clinical_photo",5,HIGH,haematology/coagulation_disorders/acquired_bleeding_disorders/disseminated_intravascular_coagulation
270,Haematology,Coagulation Disorders,Acquired Bleeding Disorders,Liver Disease Coagulopathy,liver disease coagulopathy,cirrhosis bleeding disorder,hepatic coagulopathy,liver failure coagulation,clinical_photo,4,HIGH,haematology/coagulation_disorders/acquired_bleeding_disorders/liver_disease_coagulopathy
271,Haematology,Coagulation Disorders,Thrombophilia,Factor V Leiden,factor V Leiden thrombophilia,activated protein C resistance,factor 5 Leiden,inherited thrombophilia factor V,clinical_photo,4,HIGH,haematology/coagulation_disorders/thrombophilia/factor_v_leiden
272,Haematology,Coagulation Disorders,Thrombophilia,Antiphospholipid Syndrome,antiphospholipid syndrome,APS thrombosis,lupus anticoagulant,anticardiolipin antibodies,clinical_photo,5,HIGH,haematology/coagulation_disorders/thrombophilia/antiphospholipid_syndrome
273,Haematology,Coagulation Disorders,Thrombophilia,Protein C Deficiency,protein C deficiency thrombophilia,protein C deficiency thrombosis,inherited protein C deficiency,warfarin necrosis protein C,clinical_photo,3,HIGH,haematology/coagulation_disorders/thrombophilia/protein_c_deficiency
274,Haematology,Coagulation Disorders,Thrombophilia,Protein S Deficiency,protein S deficiency thrombophilia,protein S deficiency thrombosis,inherited protein S deficiency,protein S anticoagulant deficiency,clinical_photo,3,HIGH,haematology/coagulation_disorders/thrombophilia/protein_s_deficiency
275,Haematology,Transfusion Medicine,Blood Products,Packed Red Cells,packed red blood cells transfusion,PRBC blood bag,red cell concentrate,blood transfusion bag,clinical_photo,5,HIGH,haematology/transfusion_medicine/blood_products/packed_red_cells
276,Haematology,Transfusion Medicine,Blood Products,Platelets,platelet concentrate transfusion,platelet bag,thrombocyte transfusion,platelet apheresis product,clinical_photo,4,HIGH,haematology/transfusion_medicine/blood_products/platelets
277,Haematology,Transfusion Medicine,Blood Products,Fresh Frozen Plasma,fresh frozen plasma FFP,FFP transfusion bag,plasma transfusion,coagulation factor replacement FFP,clinical_photo,4,HIGH,haematology/transfusion_medicine/blood_products/fresh_frozen_plasma
278,Haematology,Transfusion Medicine,Blood Products,Cryoprecipitate,cryoprecipitate transfusion,cryo blood product,fibrinogen concentrate,cryoprecipitate bag,clinical_photo,3,HIGH,haematology/transfusion_medicine/blood_products/cryoprecipitate
279,Haematology,Transfusion Medicine,Transfusion Reactions,Acute Haemolytic Reaction,acute haemolytic transfusion reaction,AHTR ABO incompatibility,acute transfusion reaction haemolysis,transfusion haemolysis,clinical_photo,5,HIGH,haematology/transfusion_medicine/transfusion_reactions/acute_haemolytic_reaction
280,Haematology,Transfusion Medicine,Transfusion Reactions,Febrile Non Haemolytic Reaction,febrile non-haemolytic transfusion reaction,FNHTR,transfusion fever,febrile transfusion reaction,clinical_photo,4,HIGH,haematology/transfusion_medicine/transfusion_reactions/febrile_non_haemolytic_reaction
281,Haematology,Transfusion Medicine,Transfusion Reactions,Transfusion Related Acute Lung Injury,transfusion related acute lung injury TRALI,TRALI chest xray,TRALI pulmonary oedema,transfusion lung injury,"chest_xray, clinical_photo",4,HIGH,haematology/transfusion_medicine/transfusion_reactions/transfusion_related_acute_lung_injury
282,Haematology,Transfusion Medicine,Transfusion Reactions,Transfusion Associated Circulatory Overload,transfusion associated circulatory overload TACO,TACO pulmonary oedema,transfusion fluid overload,TACO chest xray,"chest_xray, clinical_photo",4,HIGH,haematology/transfusion_medicine/transfusion_reactions/transfusion_associated_circulatory_overload
283,Haematology,Special Haematology,Parasites,Malaria,malaria blood smear,Plasmodium falciparum blood film,malaria parasites microscopy,malaria ring forms blood smear,"microscopy, blood_smear",5,HIGH,haematology/special_haematology/parasites/malaria
284,Haematology,Special Haematology,Parasites,Babesiosis,babesiosis blood smear,Babesia microscopy,babesiosis blood film,Babesia parasites red cells,"microscopy, blood_smear",3,HIGH,haematology/special_haematology/parasites/babesiosis
285,Haematology,Special Haematology,Red Cell Morphology,Rouleaux Formation,rouleaux formation blood smear,rouleaux red cells,rouleaux myeloma blood film,red cell stacking blood smear,"microscopy, blood_smear",4,HIGH,haematology/special_haematology/red_cell_morphology/rouleaux_formation
286,Haematology,Special Haematology,Red Cell Morphology,Red Cell Agglutination,red cell agglutination blood smear,cold agglutinin blood film,RBC agglutination microscopy,red cell clumping blood smear,"microscopy, blood_smear",3,HIGH,haematology/special_haematology/red_cell_morphology/red_cell_agglutination
287,Haematology,Special Haematology,Red Cell Morphology,Target Cells,target cells blood smear,codocytes blood film,target cells liver disease,target cells thalassaemia,"microscopy, blood_smear",4,HIGH,haematology/special_haematology/red_cell_morphology/target_cells
288,Haematology,Special Haematology,Red Cell Morphology,Acanthocytes,acanthocytes blood smear,spur cells blood film,acanthocytes liver disease,acanthocytes microscopy,"microscopy, blood_smear",3,HIGH,haematology/special_haematology/red_cell_morphology/acanthocytes
289,Neurology,Stroke,Ischaemic Stroke,Anterior Circulation Stroke,anterior circulation stroke CT brain,MCA territory infarct,anterior cerebral artery stroke,middle cerebral artery infarction,"CT, MRI",5,HIGH,neurology/stroke/ischaemic_stroke/anterior_circulation_stroke
290,Neurology,Stroke,Ischaemic Stroke,Posterior Circulation Stroke,posterior circulation stroke CT,basilar artery occlusion,posterior cerebral artery infarct,vertebrobasilar stroke MRI,"CT, MRI",5,HIGH,neurology/stroke/ischaemic_stroke/posterior_circulation_stroke
291,Neurology,Stroke,Ischaemic Stroke,Lacunar Infarct,lacunar infarct MRI brain,small vessel disease stroke,lacunar stroke CT,lacunar syndrome imaging,"MRI, CT",5,HIGH,neurology/stroke/ischaemic_stroke/lacunar_infarct
292,Neurology,Stroke,Ischaemic Stroke,Watershed Infarct,watershed infarct MRI,border zone infarction,hypoperfusion stroke CT,watershed territory stroke,"MRI, CT",4,HIGH,neurology/stroke/ischaemic_stroke/watershed_infarct
293,Neurology,Stroke,Ischaemic Stroke,Embolic Stroke,embolic stroke CT brain,cardioembolic stroke MRI,atrial fibrillation stroke,embolic infarction imaging,"CT, MRI",5,HIGH,neurology/stroke/ischaemic_stroke/embolic_stroke
294,Neurology,Stroke,Haemorrhagic Stroke,Intracerebral Haemorrhage,intracerebral haemorrhage CT,ICH brain CT,hypertensive haemorrhage brain,intraparenchymal haemorrhage,"CT, MRI",5,HIGH,neurology/stroke/haemorrhagic_stroke/intracerebral_haemorrhage
295,Neurology,Stroke,Haemorrhagic Stroke,Subarachnoid Haemorrhage,subarachnoid haemorrhage CT,SAH brain CT scan,aneurysmal SAH,subarachnoid blood CT,"CT, MRI, angiography",5,HIGH,neurology/stroke/haemorrhagic_stroke/subarachnoid_haemorrhage
296,Neurology,Stroke,Haemorrhagic Stroke,Subdural Haematoma,subdural haematoma CT,SDH brain CT scan,acute subdural haematoma,chronic subdural collection,"CT, MRI",5,HIGH,neurology/stroke/haemorrhagic_stroke/subdural_haematoma
297,Neurology,Stroke,Haemorrhagic Stroke,Extradural Haematoma,extradural haematoma CT,epidural haematoma brain,EDH CT scan,middle meningeal artery bleed,"CT, MRI",5,HIGH,neurology/stroke/haemorrhagic_stroke/extradural_haematoma
298,Neurology,Stroke,Transient Ischaemic Attack,Tia Imaging,transient ischaemic attack MRI,TIA brain imaging,diffusion weighted imaging TIA,normal CT brain TIA,"MRI, CT",5,HIGH,neurology/stroke/transient_ischaemic_attack/tia_imaging
299,Neurology,Headache Disorders,Migraine,Migraine With Aura,migraine with aura MRI,migraine brain imaging,classical migraine imaging,migraine aura MRI changes,MRI,4,HIGH,neurology/headache_disorders/migraine/migraine_with_aura
300,Neurology,Headache Disorders,Migraine,Hemiplegic Migraine,hemiplegic migraine MRI,familial hemiplegic migraine,complicated migraine imaging,migraine stroke-like symptoms,MRI,3,HIGH,neurology/headache_disorders/migraine/hemiplegic_migraine
301,Neurology,Headache Disorders,Intracranial Hypertension,Idiopathic Intracranial Hypertension,idiopathic intracranial hypertension MRI,pseudotumour cerebri imaging,empty sella IIH,optic nerve sheath distension,"MRI, fundoscopy",4,HIGH,neurology/headache_disorders/intracranial_hypertension/idiopathic_intracranial_hypertension
302,Neurology,Headache Disorders,Intracranial Hypertension,Hydrocephalus,hydrocephalus CT brain,enlarged ventricles CT,obstructive hydrocephalus MRI,communicating hydrocephalus,"CT, MRI",5,HIGH,neurology/headache_disorders/intracranial_hypertension/hydrocephalus
